# Las Cruces (Up to date)
# 1785 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (61.3 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,4.2804,0,4.3224,0,0,0,0,0,0.60156,33,-107,9.7914,82,0,0,0,35309,11267,32.495,0.12143,NaN,214.43,NaN,0.013725,850948,494.98,6.8103e-4,0.52946,0.0033257,0.44848,0.020701,0.060276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.01613
0.01,2.1402e-4,0.042804,32.045,0.043224,32.359,3.0078e-5,0,3.0078e-5,0,0.0060156,4.5036,33,-107,9.7914,81.489,0,0,0,35309,11267,32.495,0.12143,NaN,214.43,NaN,0.013632,845146,1484.9,8.0522e-4,0.53007,0.0039864,0.4491,0.020701,0.060276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3085e-6,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.01919
0.02,0.0022447,0.36335,59.829,0.36692,60.417,3.1547e-4,0,3.1547e-4,0,0.051066,8.4085,33,-107,9.7914,77.675,0,0,0,35298,11256,32.488,0.12142,NaN,214.41,NaN,0.013687,848568,2474.9,0.0023575,0.52971,0.011577,0.44873,0.020701,0.060276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5063e-5,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.022236
0.03,0.0088704,0.96182,87.631,0.97127,88.492,0.0012467,0,0.0012467,0,0.13518,12.316,33,-107,9.7914,70.782,0,0,0,35288,11245,32.481,0.1214,NaN,214.39,NaN,0.014044,870704,3464.8,0.008609,0.52739,0.040155,0.44641,0.020701,0.060277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1928e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.028435
0.04,0.022871,1.8384,107.08,1.8564,108.14,0.0032143,0,0.0032143,0,0.25837,15.05,33,-107,9.7914,61.564,0,0,0,35277,11235,32.474,0.12139,NaN,214.37,NaN,0.014956,927225,4156.8,0.027601,0.52179,0.11352,0.44081,0.020702,0.060279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2799e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.032145
0.05,0.046611,2.9097,114.81,2.9383,115.94,0.0065507,0,0.0065507,0,0.40893,16.136,33,-107,9.7914,52.027,0,0,0,35260,11218,32.462,0.12137,NaN,214.33,NaN,0.016543,1025659,4430.1,0.068128,0.51304,0.229,0.43206,0.020703,0.060282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6085e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.039064
0.06,0.081451,4.0585,115.58,4.0984,116.72,0.011447,0,0.011447,0,0.57038,16.244,33,-107,9.7914,44.231,0,0,0,35237,11195,32.447,0.12134,NaN,214.28,NaN,0.018822,1166942,4454.6,0.13131,0.50222,0.34097,0.42123,0.020704,0.060287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0333e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.050645
0.07,0.12782,5.215,116.14,5.2662,117.28,0.017964,0,0.017964,0,0.73292,16.322,33,-107,9.7914,38.168,0,0,0,35214,11171,32.431,0.12131,NaN,214.23,NaN,0.021389,1326103,4471.5,0.21286,0.49189,0.42802,0.41089,0.020706,0.060294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4676e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.054583
0.08,0.18578,6.3771,116.7,6.4397,117.84,0.026109,0,0.026109,0,0.89624,16.401,33,-107,9.7914,33.424,0,0,0,35190,11147,32.415,0.12128,NaN,214.18,NaN,0.024157,1497702,4488.3,0.31019,0.48242,0.489,0.40141,0.020709,0.060302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9088e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.062348
0.09,0.25539,7.5447,117.25,7.6189,118.41,0.035892,0,0.035892,0,1.0603,16.479,33,-107,9.7914,29.658,0,0,0,35166,11124,32.398,0.12126,NaN,214.13,NaN,0.02707,1678298,4505.2,0.4213,0.47385,0.5289,0.39283,0.020712,0.060312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3569e-4,15.24,182.41,82,0,NaN,34.243,848.49,352.05,0.01,0.065638
