idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
107176,-0.035,-0.995,0.132,-39.5,-46.3,1.1,-1.188,-3,0.125,-82.453,2.006,172.492,43.221,3.97,85808.77,1563.47
107177,-0.032,-0.999,0.116,-40.2,-46.5,1.4,-1.562,-3.188,0.25,-83.371,1.833,174.132,43.202,3.96,85809.87,1563.26
107178,-0.027,-0.995,0.133,-39.7,-46,1.9,-1.375,-2.938,-0.062,-82.398,1.56,173.761,43.214,3.95,85807.18,1563.62
107179,-0.031,-0.994,0.126,-39.3,-46.8,2.7,-1.5,-2.875,0.25,-82.778,1.786,175.157,43.204,3.93,85804.61,1563.85
107180,-0.036,-0.996,0.118,-39,-46.5,3.5,-1.312,-3.312,0.062,-83.241,2.061,176.936,43.202,3.95,85803.71,1563.95
107181,-0.03,-0.994,0.128,-40.5,-47.4,2.7,-1.438,-2.938,-0.125,-82.667,1.73,175.065,43.207,3.94,85805.77,1563.74
107182,-0.023,-0.996,0.112,-40.6,-47.1,0.8,-1.75,-2.5,0,-83.574,1.338,173.533,43.209,3.94,85806.04,1563.72
107183,-0.031,-0.996,0.126,-39.6,-46.1,1.6,-1.375,-2.25,-0.062,-82.792,1.783,173.722,43.207,3.93,85810.27,1563.24
107184,-0.035,-0.995,0.122,-39.8,-46.9,1.2,-1.625,-2.75,-0.562,-83.007,2.008,173.242,43.215,3.92,85809.84,1563.33
107185,-0.023,-0.996,0.122,-40,-47.1,1.9,-1.375,-2.812,-0.438,-83.02,1.337,174.365,43.213,3.92,85808.47,1563.47
107186,-0.024,-0.995,0.124,-40.1,-47.7,1.3,-1.625,-2.625,-0.125,-82.896,1.395,173.248,43.221,3.87,85809.87,1563.35
107187,-0.03,-0.998,0.121,-40.7,-46.4,2.4,-1.5,-2.875,0.062,-83.089,1.723,175.342,43.218,3.87,85810.27,1563.3
107188,-0.026,-0.994,0.127,-40,-46.5,1.7,-1.688,-2.812,-0.188,-82.723,1.507,173.811,43.213,3.87,85810.31,1563.27
107189,-0.027,-0.995,0.121,-40.4,-46.7,1.3,-1.188,-2.688,0,-83.062,1.562,173.653,43.197,3.82,85807.07,1563.55
107190,-0.024,-0.995,0.124,-40.7,-46.1,0.6,-1.375,-2.75,0,-82.896,1.395,172.648,43.182,3.84,85807.89,1563.38
107191,-0.021,-0.996,0.126,-39.4,-46.6,0.9,-1.75,-3,0.25,-82.792,1.226,172.649,43.188,3.77,85811.32,1563.03
107192,-0.027,-0.996,0.115,-40.9,-46.6,0.9,-1.938,-2.062,-0.25,-83.401,1.562,173.576,43.143,3.74,85807.82,1563.2
107193,-0.026,-0.995,0.129,-39.9,-45.5,1.9,-0.938,-2.75,0.25,-82.619,1.505,174.155,43.127,3.74,85805.95,1563.33
107194,-0.024,-0.996,0.119,-40.6,-47.1,1.6,-1.375,-2.5,-0.125,-83.179,1.394,174.203,43.11,3.76,85806.58,1563.17
107195,-0.027,-0.994,0.121,-39.5,-46.7,1.7,-1.062,-2.562,-0.062,-83.055,1.564,174.085,43.105,3.78,85806.57,1563.15
107196,-0.032,-0.994,0.126,-39.4,-46.5,0.9,-0.938,-3,0.125,-82.778,1.842,172.553,43.118,3.79,85809.17,1562.92
107197,-0.02,-0.997,0.115,-39.8,-46.4,0.6,-1.5,-2.812,-0.562,-83.414,1.114,173.072,43.123,3.8,85805.81,1563.32
107198,-0.021,-0.994,0.129,-40.3,-45.8,1.3,-1.125,-2.562,0.375,-82.612,1.228,173.326,43.125,3.78,85805.61,1563.35
107199,-0.037,-0.996,0.115,-40.5,-46.7,2.2,-1.625,-2.312,0.062,-83.407,2.117,175.314,43.144,3.82,85810.11,1562.95
107200,-0.032,-0.996,0.124,-40.5,-47,1.7,-1.062,-2.688,-0.438,-82.903,1.839,173.966,43.133,3.82,85806.8,1563.26
107201,-0.015,-0.996,0.128,-39.1,-46.7,2.3,-1.625,-2.375,-0.062,-82.689,0.835,174.555,43.147,3.86,85805.67,1563.45
107202,-0.028,-0.996,0.112,-39.7,-47.3,0.3,-1.562,-2.125,0.25,-83.574,1.617,172.579,43.13,3.84,85803.72,1563.59
107203,-0.039,-0.993,0.131,-39.1,-47.2,0.3,-1.688,-2.938,0,-82.494,2.233,171.046,43.123,3.89,85805.08,1563.4
107204,-0.02,-0.996,0.115,-38.2,-46.5,1.1,-1.75,-2.938,-0.312,-83.401,1.172,173.489,43.127,3.9,85806.32,1563.28
107205,-0.019,-0.995,0.122,-40.1,-47.3,0.2,-0.875,-2.062,0.25,-83.007,1.06,171.931,43.128,3.86,85804.3,1563.52
107206,-0.036,-0.997,0.123,-39.8,-46,2.5,-1.562,-2.375,-0.125,-82.972,2.058,175.281,43.122,3.86,85803.44,1563.58
107207,-0.035,-0.995,0.116,-40.7,-45.9,0.9,-1.625,-2.625,0,-83.339,2.01,173.531,43.112,3.82,85803.16,1563.56
107208,-0.019,-0.994,0.13,-40,-47.4,0.6,-1.438,-2.438,-0.125,-82.557,1.06,171.932,43.097,3.8,85804.79,1563.31
107209,-0.029,-0.995,0.113,-39.2,-48,-1.1,-1.375,-2.75,-0.125,-83.506,1.676,170.209,43.084,3.83,85802.64,1563.48
107210,-0.042,-0.997,0.131,-38.4,-46.7,2.6,-1.562,-2.938,-0.125,-82.53,2.389,174.522,43.083,3.81,85806.14,1563.09
107211,-0.029,-0.996,0.118,-39.3,-46.4,1,-1.938,-3.188,0,-83.235,1.673,173.275,43.092,3.85,85805.21,1563.24
107212,-0.022,-0.996,0.119,-38.8,-46.4,2.3,-1.625,-2.812,0.188,-83.186,1.281,175.123,43.098,3.88,85806.06,1563.17
107213,-0.032,-0.996,0.128,-40.1,-46.2,2.5,-1.438,-2.625,-0.188,-82.689,1.836,174.967,43.101,3.85,85809.09,1562.85
107214,-0.038,-0.994,0.115,-38.2,-47.5,2.6,-1.812,-3.125,-0.062,-83.388,2.179,175.462,43.108,3.91,85805.24,1563.31
107215,-0.025,-0.996,0.128,-38.6,-46.9,2.2,-1.375,-2.625,0.312,-82.681,1.448,174.211,43.107,3.89,85805.05,1563.33
107216,-0.025,-0.994,0.122,-40.5,-45.9,1,-1.688,-2.375,0.312,-83,1.452,173.327,43.111,3.91,85807.5,1563.08
107217,-0.034,-0.996,0.123,-39.9,-46.7,3.2,-1.375,-2.5,0,-82.958,1.95,176.19,43.111,3.93,85803.37,1563.53
107218,-0.031,-0.995,0.125,-40.8,-46.4,1,-1.375,-2.812,-0.438,-82.84,1.785,173.057,43.106,3.91,85804.89,1563.34
107219,-0.023,-0.994,0.121,-39.6,-47.8,1.7,-1.5,-3.375,-0.125,-83.055,1.341,173.929,43.105,3.91,85807.02,1563.1
107220,-0.029,-0.994,0.129,-39.5,-46.1,1.6,-1.5,-3.25,-0.438,-82.612,1.674,173.507,43.098,3.91,85806.35,1563.14
107221,-0.036,-0.995,0.119,-41.6,-47,1.1,-2.062,-2.625,0.062,-83.173,2.065,173.57,43.097,3.96,85806.27,1563.14
107222,-0.03,-0.996,0.124,-39,-46.3,1.2,-1.438,-3.062,-0.25,-82.91,1.726,173.138,43.096,3.89,85805.45,1563.23
107223,-0.02,-0.995,0.125,-40.4,-46.9,2.8,-1.938,-3.125,0.25,-82.84,1.171,175.552,43.101,3.88,85805.41,1563.26
107224,-0.026,-0.995,0.113,-39,-46.4,1.1,-1.5,-2.938,0,-83.506,1.508,173.722,43.108,3.9,85806.26,1563.2
107225,-0.031,-0.995,0.129,-40.7,-46.1,1.7,-1.312,-2.625,-0.25,-82.619,1.784,173.84,43.113,3.86,85810.61,1562.74
107226,-0.027,-0.996,0.119,-41,-47.7,2.8,-1.438,-2.875,-0.188,-83.179,1.561,175.842,43.103,3.93,85808.51,1562.92
107227,-0.021,-0.996,0.12,-38.9,-46.3,2.2,-1.625,-2.688,0.125,-83.124,1.227,174.936,43.116,3.85,85808.83,1562.95
107228,-0.028,-0.992,0.128,-39.3,-47,1.7,-1.75,-2.75,0,-82.653,1.622,173.501,43.099,3.86,85802.56,1563.57
107229,-0.03,-0.996,0.115,-37.7,-45.6,2.4,-1.312,-2.75,-0.25,-83.407,1.728,175.51,43.072,3.83,85802.12,1563.48
107230,-0.029,-0.996,0.127,-39.5,-46.6,3,-1.688,-2.625,-0.188,-82.744,1.67,175.635,43.073,3.91,85809.65,1562.65
107231,-0.054,-1.015,0.112,-39.7,-47.3,2.1,-1.688,-2.625,0.188,-83.69,3.009,175.215,43.063,3.91,85803.87,1563.24
107232,-0.03,-1.001,0.125,-39.1,-46.5,1.3,-1.312,-2.688,-0.5,-82.889,1.717,173.242,43.064,3.9,85802.84,1563.36
107233,-0.032,-0.996,0.124,-39.6,-46.9,1.9,-1.062,-2.75,-0.188,-82.903,1.839,174.138,43.069,3.88,85804.98,1563.15
107234,-0.032,-0.994,0.124,-38.9,-46.7,3.6,-1.5,-3.25,-0.25,-82.889,1.842,176.618,43.08,3.9,85805.79,1563.11
107235,-0.029,-0.996,0.128,-40.3,-45.3,2.3,-1.312,-2.875,-0.062,-82.681,1.671,174.883,43.076,3.89,85805.57,1563.11
107236,-0.033,-0.994,0.128,-40.2,-45.9,0.6,-1.812,-2.875,0.375,-82.667,1.897,172.249,43.066,3.89,85804.66,1563.17
107237,-0.033,-0.994,0.119,-41.2,-46.8,2.4,-2.25,-2.812,-0.188,-83.166,1.899,175.404,43.063,3.89,85801.29,1563.53
107238,-0.033,-0.996,0.122,-40.2,-46.9,3.8,-1.375,-2.625,-0.188,-83.013,1.895,177.135,43.069,3.88,85806.45,1562.98
107239,-0.014,-1.08,0.162,-41.4,-48.2,0.9,-2.062,-3.125,-0.5,-81.472,0.717,171.28,43.089,3.84,85807.81,1562.93
107240,-0.035,-1.014,0.13,-40.2,-46.2,1.4,-1.75,-2.938,0.562,-82.705,1.968,173.383,43.084,3.89,85807.14,1562.98
107241,-0.04,-0.99,0.124,-40.1,-45.7,0.9,-1.312,-2.875,0.125,-82.861,2.298,172.867,43.072,3.89,85804.7,1563.19
107242,-0.023,-0.995,0.123,-39,-46.2,3.3,-1.875,-3,-0.062,-82.951,1.339,176.386,43.083,3.86,85805.77,1563.13
107243,-0.239,-5.357,1.134,-40.6,-46.1,2.8,-15.562,22.188,-7.312,-78.047,2.5,169.989,43.018,3.91,85779.27,1565.76
107244,0.051,-5.357,0.956,-39.3,-44.9,3.4,-2.688,69.062,-1.438,-79.887,-0.534,173.484,42.995,3.86,85731.17,1571
107245,-0.373,-5.357,0.611,-41,-46,8.3,-0.438,81.312,-3.812,-83.494,3.955,184.603,42.981,3.87,85689.54,1575.57
107246,-0.4,-5.357,0.497,-42.7,-46,11.9,4.5,88.125,-7.625,-84.702,4.254,191.001,43.037,3.87,85646.04,1580.7
107247,-0.373,-5.357,0.56,-46.4,-44.6,14.6,12.062,94.312,-8.125,-84.03,3.959,192.908,43.03,3.92,85597.24,1586.11
107248,-0.398,-5.357,0.523,-50.7,-45.6,15.9,19.25,98.688,-4.25,-84.423,4.231,193.598,42.991,3.93,85557.96,1590.3
107249,-0.389,-5.357,0.432,-55.1,-45.1,16,16.312,113.562,-3.25,-85.386,4.144,193.425,42.988,3.99,85511.51,1595.47
107250,-0.381,-5.357,0.496,-59.4,-43.7,16.5,6.75,137.375,-12.688,-84.712,4.047,192.472,43.044,4.04,85515.5,1595.31
107251,-0.465,-5.357,0.419,-65.6,-44.4,12.7,6.125,160.688,-18,-85.531,4.941,188.515,43.014,4.19,85505.52,1596.27
107252,-0.516,-5.357,0.494,-69.9,-44.9,9.2,3.875,181.938,-11.375,-84.733,5.482,184.418,43.017,4.25,85518.1,1594.88
107253,-0.466,-5.357,0.458,-69.8,-44.5,1.8,1.688,209.75,-4.5,-85.116,4.949,178.261,43.044,4.39,85549.3,1591.53
107254,-0.504,-5.357,0.512,-64.1,-45,-3.5,2.5,248.188,-7.25,-84.537,5.346,172.583,43.041,4.54,85584.31,1587.61
